"ProductCode","Name","TamilName","Category","Mrp","SellingPrice","PurchasePrice","Barcode","TaxSlabName","IsWeighable","HasExpiry","Uom"
"BA-10030","ENCHANTEUR ROLL DEO","ENCHANTEUR ROLL","","210.00","185.00","140.00","11374","GST 0%","FALSE","TRUE","Pcs"
"BA-10031","AMUL GHEE 200","அமுல் நெய் 200","","152.00","145.00","133.28","103393","GST 0%","FALSE","TRUE","Pcs"
"BA-10032","CHERRY WHITE SHOE POLISH","CHERRY SHOE POLISH","","55.00","54.00","51.00","11378","GST 0%","FALSE","TRUE","Pcs"
"BA-10033","BANGLES 90","BANGELS 90","","150.00","90.00","48.00","11379","GST 0%","FALSE","TRUE","Pcs"
"BA-10034","BANGLES 45","BANGLES 45","","60.00","45.00","20.00","11380","GST 0%","FALSE","TRUE","Pcs"
"BA-10035","BRESLET PASI","BRESLET PASI","","30.00","20.00","8.00","11381","GST 0%","FALSE","TRUE","Pcs"
"BA-10036","THANGA BABA BANGLES","தங்க்பாப்பா வலையல்","","40.00","40.00","20.00","11382","GST 0%","FALSE","TRUE","Pcs"
"BA-10037","NETHI CHUTI 35","NETHICHUTI 35","","50.00","20.00","7.00","11383","GST 0%","FALSE","TRUE","Pcs"
"BA-10038","OTTU THODU","OTTU THODU","","30.00","25.00","7.00","11384","GST 0%","FALSE","TRUE","Pcs"
"BA-10039","EARING 120","EARING 120","","150.00","120.00","60.00","11385","GST 0%","FALSE","TRUE","Pcs"
"BA-1004","LOREAL B 1 RS.199/-","ரு.199/- லோரியல்  B 1","","199.00","188.00","0.00","2058","GST 18%","FALSE","TRUE","Pcs"
"BA-10040","NECKLESS 610","NECKLESS  610","","600.00","475.00","300.00","11386","GST 0%","FALSE","TRUE","Pcs"
"BA-10041","THODU 5R","தோடு 5","","10.00","5.00","1.75","11387","GST 0%","FALSE","TRUE","Pcs"
"BA-10042","CHAIN 50","CHAIN 50","","75.00","50.00","30.00","11388","GST 0%","FALSE","TRUE","Pcs"
"BA-10043","MIRROR DESAIGN","MIRROR","","50.00","35.00","18.00","11389","GST 0%","FALSE","TRUE","Pcs"
"BA-10044","HOOK 3PPP","HOOK 3","","45.00","25.00","16.00","11390","GST 0%","FALSE","TRUE","Pcs"
"BA-10045","HOOK 2KG","HOOK 2KG","","60.00","35.00","20.00","11391","GST 0%","TRUE","TRUE","Kgs"
"BA-10046","HOOK 2KK","HOOK 2","","25.00","15.00","8.00","11392","GST 0%","FALSE","TRUE","Pcs"
"BA-10047","MAX 3","MAX 3","","30.00","20.00","7.50","11393","GST 0%","FALSE","TRUE","Pcs"
"BA-10048","CAT COLOR","CAT COLOR","","150.00","99.00","48.00","11394","GST 0%","FALSE","TRUE","Pcs"
"BA-10049","LIPSTICK DIVAN","LIPSTICK DIVAN","","45.00","30.00","7.00","11395","GST 0%","FALSE","TRUE","Pcs"
"BA-1005","SURF XL 200","சர்புஎக்சல்  200","","40.00","39.00","36.60","2059","GST 0%","FALSE","TRUE","Pcs"
"BA-10050","TIP TOP LADY NIAL","TIP TAOP NAIL","","60.00","35.00","14.00","11396","GST 0%","FALSE","TRUE","Pcs"
"BA-10051","NAIL POLISH KD 30","NAIL POLISH 30","","50.00","30.00","15.00","11397","GST 0%","FALSE","TRUE","Pcs"
"BA-10052","NAIL FASHION","NAIL FASHION","","70.00","55.00","25.00","11398","GST 0%","FALSE","TRUE","Pcs"
"BA-10053","HD FOUNDATION","HD FOUNDATION","","150.00","95.00","48.00","11399","GST 0%","FALSE","TRUE","Pcs"
"BA-10054","EYETEX MASCARA 60","EYETEX MASCARA","","60.00","58.00","44.09","11400","GST 0%","FALSE","TRUE","Pcs"
"BA-10055","EYETEX PALLAVI SIN","EYETEX PALLAVI","","15.00","15.00","9.00","11401","GST 0%","FALSE","TRUE","Pcs"
"BA-10055","EYETEX PALLAVI SIN","EYETEX PALLAVI","","25.00","24.00","14.00","119718","GST 0%","FALSE","TRUE","Pcs"
"BA-10056","MANGALDEEP PUSH 50","மங்கள்தீப் 50","","50.00","45.00","38.33","11402","GST 0%","FALSE","TRUE","Pcs"
